Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
,3,LINEAR,219,137,219,136.97,0,-0.03,±0.30
,4,LINEAR,0,137,0.06,136.96,0.06,-0.04,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
85,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.95,0,-0.05,0,±0.30
,3,LINEAR,219,137,219.04,136.95,0.04,-0.05,±0.30
,4,LINEAR,0,137,0.01,136.91,0.01,-0.09,±0.30
86,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,219,136.99,0,-0.01,±0.30
,4,LINEAR,0,137,0.04,136.95,0.04,-0.05,±0.30
87,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.9,0,-0.1,0,±0.30
,3,LINEAR,219,137,218.96,136.99,-0.04,-0.01,±0.30
,4,LINEAR,0,137,-0.02,136.95,-0.02,-0.05,±0.30
88,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,219,137.02,0,0.02,±0.30
,4,LINEAR,0,137,0.01,136.97,0.01,-0.03,±0.30
89,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,218.95,137.03,-0.05,0.03,±0.30
,4,LINEAR,0,137,0,136.93,0,-0.07,±0.30
90,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.94,0,-0.06,0,±0.30
,3,LINEAR,219,137,219.04,137.01,0.04,0.01,±0.30
,4,LINEAR,0,137,0.04,137,0.04,0,±0.30
91,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.95,0,-0.05,0,±0.30
,3,LINEAR,219,137,218.93,137.04,-0.07,0.04,±0.30
,4,LINEAR,0,137,-0.06,136.92,-0.06,-0.08,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
92,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.92,0,-0.08,0,±0.30
,3,LINEAR,219,137,218.98,136.97,-0.02,-0.03,±0.30
,4,LINEAR,0,137,-0.04,136.94,-0.04,-0.06,±0.30
93,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,218.97,136.99,-0.03,-0.01,±0.30
,4,LINEAR,0,137,0.02,136.97,0.02,-0.03,±0.30
94,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.92,0,-0.08,0,±0.30
,3,LINEAR,219,137,218.95,137.05,-0.05,0.05,±0.30
,4,LINEAR,0,137,-0.03,136.94,-0.03,-0.06,±0.30
95,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219.03,0,0.03,0,±0.30
,3,LINEAR,219,137,218.99,137.01,-0.01,0.01,±0.30
,4,LINEAR,0,137,0.06,136.97,0.06,-0.03,±0.30
96,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.93,0,-0.07,0,±0.30
,3,LINEAR,219,137,218.99,136.99,-0.01,-0.01,±0.30
,4,LINEAR,0,137,-0.05,136.97,-0.05,-0.03,±0.30
97,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.9,0,-0.1,0,±0.30
,3,LINEAR,219,137,218.98,136.97,-0.02,-0.03,±0.30
,4,LINEAR,0,137,-0.11,136.93,-0.11,-0.07,±0.30
98,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.99,136.98,-0.01,-0.02,±0.30
,4,LINEAR,0,137,-0.01,136.94,-0.01,-0.06,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
99,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219.01,137.02,0.01,0.02,±0.30
,4,LINEAR,0,137,-0.05,136.97,-0.05,-0.03,±0.30
100,1,LINEAR,0,0,0,0,0,0,±0.30
